paint_code,all_codes,name,german_name,family,finish,years,pts_only,hex
LY8V,LY8V,Sable Brown Metallic,Zobelbraun Metallic,brown,metallic,1983-1984,no,#7E7266
Q84,Q84,Saddle Brown Metallic,Sattelbraun Metallic,brown,metallic,,yes,#393131
6607,6607,Sandbeige,Sandbeige,brown,solid,1965-1969,no,#D8C193
LY4V,LY4V,Saturn Metallic,Saturn Metallic,brown,metallic,1982-1982,no,#893E36
415,415,Sepia Brown,Sepiabraun,brown,solid,,no,#905508
436,436,Sienna Metallic,Diamantsahara,brown,metallic,,no,#D6432B
Z8W,Z8W,Teak Brown Metallic,Teakbraun Metallic,brown,metallic,,yes,#6d5f55
5409,5409,Terra Cotta,terrakotta,brown,solid,,no,#A6744E
L98Y,L98Y,Titian Metallic,Tizian Metallic,brown,metallic,1976-1976,no,#A05020
464,464,Tobacco Metallic,Tabak-met.,brown,metallic,,no,#775A39
6411,6411,Togo Brown,Togobraun,brown,solid,1964-1965,no,#3C1F0C
M8X,J3 / M8X,Topaz Brown Metallic,topasbraun metallic,brown,metallic,,no,#807968
M8P,M8P,Truffle Brown Metallic,trüffelbraunmet,brown,metallic,,no,#4C3931
40X,40W / 40X,Vesuvio Metallic,Vesuvio Perlcolor,brown,metallic,,no,#554351
442,442,Byzantine Gold,byzantinischesgold,gold,solid,,no,#D08645
Z52,Z52,Gold Bronze Metallic,Gold Bronze,gold,metallic,2021-present,yes,#D0C8A8
6828,62165 / 6828,Golden Green,goldgrün,gold,solid,,no,#85AC5B
17656,17656,Lido Gold,lidogold,gold,solid,,no,#DCF1B7
,,Lime Gold Metallic,Limegold Metallic,gold,metallic,2007-2012,no,#AA9B80
,,Madeira Gold Metallic,Madeiragold Metallic,gold,metallic,2024-present,no,#B8860B
1D4,1D4 / M2Z,Nordic Gold Metallic,Nordgold Metallic,gold,metallic,2008-2010,no,#EB8723
X6P,X6P,89 Avalon Green Metallic,Avalongrün Metallic,green,metallic,,yes,#4e5d66
6A7,2M8 / 6A7,Acid Green,Acidgrün,green,solid,2018-present,yes,#D4EC53
6TN,6TN,Amazonas Green Metallic,Amazonasgrün Metallic,green,metallic,,yes,#244e65
260,260,Apple Green,Daphnegrün,green,solid,,no,#A1D434
60A,60A,Arlo Green Metallic,Arlogrün Metallic,green,metallic,,yes,#2c525c
6IL,6IL,Ashley Green,Ashleygrün,green,solid,,yes,#618653
6RY,6RY,Audrain Green Metallic,Audraingrün Metallic,green,metallic,,yes,#3b6955
6AU,5712 / 6AU,Auratium Green,Auratiumgrün,green,metallic,1957-1959,no,#4e6b53
39S,39R / 39S,Aventura Green Metallic,Aventuragrün Perlcolor,green,metallic,,no,#3CB371
M6T,K6 / L39R / M6T / U4,Aventurine Green Metallic,Aventuringrün Metallic,green,metallic,2019-present,no,#51514f
Z6R,Z6R,Avocado Green Metallic,Avocadogrün Metallic,green,metallic,,yes,#355041
K6A,K6A,Barnato Green,Barnatogrün,green,metallic,2024-present,yes,#313a3a
253,253,Birch Green,Birkengrün,green,solid,1974-present,yes,#DBFF4E
247,247 / 2A7,Black Olive,Schwarzoliv,green,solid,,yes,#434A3A
22B,22B,Brewster Green,Brewstergrün,green,solid,2021-present,yes,#06371C
611,611 / GB0,British Racing Green,British Racing Green,green,solid,2021-present,yes,#05520E
895,895,British Racing Green Metallic,British Racing Green Metallic,green,metallic,,yes,#2e5b53
62163,62163,Bush (Leaf) Green,buschgruen,green,solid,,no,#83B78C
218,218,Bush Green,Buschgrün,green,solid,,no,Solid
